Borough 	Population 	Area 	Density
Charlottenburg-Wilmersdorf 	319,628 	64.72 	4,878
Friedrichshain-Kreuzberg 	268,225 	20.16 	13,187
Lichtenberg 	259,881 	52.29 	4,952
Marzahn-Hellersdorf 	248,264 	61.74 	4,046
Mitte 	332,919 	39.47 	8,272
Neukölln 	310,283 	44.93 	6,804
Pankow 	366,441 	103.01 	3,476
Reinickendorf 	240,454 	89.46 	2,712
Spandau 	223,962 	91.91 	2,441
Steglitz-Zehlendorf 	293,989 	102.50 	2,818
Tempelhof-Schöneberg 	335,060 	53.09 	6,256
Treptow-Köpenick 	241,335 	168.42 	1,406 
