Name	Status	2020-02-29	2020-03-04	2020-03-08	2020-03-12	2020-03-16	2020-03-19
Baden-Württemberg	State	15	65	199	454	1105	2748
Alb-Donau-Kreis	County	0	2	3	6	13	26
Baden-Baden	County-level City	0	0	1	3	7	17
Biberach	County	0	0	3	4	5	45
Böblingen	County	1	1	3	4	9	28
Bodenseekreis	County	0	1	4	4	29	62
Breisgau-Hochschwarzwald	County	3	4	5	18	45	101
Calw	County	0	0	1	12	43	76
Emmendingen	County	0	0	12	16	35	99
Enzkreis	County	0	0	1	3	4	21
Esslingen	County	0	5	16	47	123	234
Freiburg im Breisgau	County-level City	2	6	8	18	53	114
Freudenstadt	County	0	0	0	2	8	14
Göppingen	County	2	2	3	3	29	60
Heidelberg	County-level City	0	2	5	2	2	3
Heidenheim	County	0	1	3	8	21	34
Heilbronn	County	1	10	20	32	50	110
Heilbronn Stadt	County-level City	0	2	3	1	4	19
Hohenlohekreis	County	0	0	1	8	29	154
Karlsruhe	County	1	1	7	16	24	75
Karlsruhe Stadt	County-level City	0	0	0	8	14	34
Konstanz	County	0	0	1	2	20	43
Lörrach	County	0	1	1	4	10	41
Ludwigsburg	County	1	3	7	18	38	126
Main-Tauber-Kreis	County	0	1	23	24	31	33
Mannheim	County-level City	0	4	7	12	27	73
Neckar-Odenwald-Kreis	County	0	0	1	2	7	20
Ortenaukreis	County	0	0	7	13	28	55
Ostalbkreis	County	0	3	3	7	31	85
Pforzheim	County-level City	0	0	0	4	5	11
Rastatt	County	0	0	3	11	34	64
Ravensburg	County	0	0	3	5	12	88
Rems-Murr-Kreis	County	0	2	5	10	23	79
Reutlingen	County	0	0	0	7	31	43
Rhein-Neckar-Kreis	County	1	2	10	28	38	144
Rottweil	County	1	1	1	1	4	2
Schwäbisch Hall	County	0	0	0	15	21	61
Schwarzwald-Baar-Kreis	County	0	0	1	2	6	28
Sigmaringen	County	0	1	1	4	16	41
Stuttgart	County-level City	0	2	9	35	60	196
Tübingen	County	2	2	2	9	61	93
Tuttlingen	County	0	0	0	0	5	10
Ulm	County-level City	0	4	4	5	13	21
Waldshut	County	0	0	0	0	4	5
Zollernalbkreis	County	0	2	11	21	33	60
Bayern [Bavaria]	State	18	51	207	500	1067	2282
Aichach-Friedberg	County	0	0	0	0	10	17
Altötting	County	0	0	0	0	0	7
Amberg	County-level City	0	0	0	0	1	2
Amberg-Sulzbach	County	0	0	3	...	7	17
Ansbach	County	0	0	0	0	0	8
Ansbach Stadt	County-level City	0	0	0	0	0	3
Aschaffenburg	County	0	0	0	...	3	26
Aschaffenburg Stadt	County-level City	0	0	0	0	6	20
Augsburg	County	0	2	6	...	25	41
Augsburg Stadt	County-level City	0	0	1	...	9	26
Bad Kissingen	County	0	0	1	...	3	9
Bad Tölz-Wolfratshausen	County	0	0	0	...	10	21
Bamberg	County	0	0	0	...	9	15
Bamberg Stadt	County-level City	0	0	0	0	2	10
Bayreuth	County	0	2	2	...	5	9
Bayreuth Stadt	County-level City	0	0	0	0	0	2
Berchtesgadener Land	County	0	0	0	0	0	8
Cham	County	0	0	2	...	21	31
Coburg	County	0	0	0	0	4	12
Coburg Stadt	County-level City	0	0	0	0	0	0
Dachau	County	0	0	3	...	14	15
Deggendorf	County	0	0	0	...	5	26
Dillingen a.d. Donau	County	0	0	0	0	0	1
Dingolfing-Landau	County	0	0	1	...	13	18
Donau-Ries	County	0	0	2	...	3	9
Ebersberg	County	1	1	7	...	27	39
Eichstätt	County	0	0	0	...	2	6
Erding	County	0	1	2	...	17	35
Erlangen	County-level City	1	1	5	5	6	13
Erlangen-Höchstadt	County	0	0	2	...	10	14
Forchheim	County	0	0	0	...	4	14
Freising	County	0	14	29	...	74	130
Freyung-Grafenau	County	0	0	0	0	0	14
Fürstenfeldbruck	County	3	3	3	...	22	24
Fürth	County	0	0	0	...	3	4
Fürth Stadt	County-level City	0	0	0	...	9	12
Garmisch-Partenkirchen	County	0	0	1	...	0	20
Günzburg	County	0	0	0	0	0	88
Haßberge	County	0	0	0	...	6	8
Hof	County	0	0	1	1	4	9
Hof Stadt	County-level City	0	0	0	...	3	8
Ingolstadt	County-level City	0	0	1	1	1	3
Kaufbeuren	County-level City	0	0	0	...	1	4
Kelheim	County	0	0	1	...	4	10
Kempten (Allgäu)	County-level City	0	0	0	0	0	0
Kitzingen	County	0	0	0	0	4	7
Kronach	County	0	0	0	0	2	4
Kulmbach	County	0	0	0	0	1	11
Landsberg am Lech	County	0	0	0	...	5	14
Landshut	County	0	0	0	...	8	36
Landshut Stadt	County-level City	0	0	0	...	4	12
Lichtenfels	County	0	0	0	0	1	5
Lindau (Bodensee)	County	0	2	4	...	19	23
Main-Spessart	County	0	0	0	...	5	9
Memmingen	County-level City	0	0	0	0	1	8
Miesbach	County	0	0	4	...	15	47
Miltenberg	County	0	0	0	...	4	15
Mühldorf a. Inn	County	0	0	0	0	0	10
München	County	3	4	15	...	66	133
München Stadt	County-level City	2	4	51	...	187	321
Neuburg-Schrobenhausen	County	0	0	0	0	0	0
Neumarkt i.d. OPf.	County	0	0	0	...	5	18
Neustadt a.d. Aisch-Bad Windsheim	County	0	0	3	...	4	4
Neustadt a.d. Waldnaab	County	0	0	0	...	1	2
Neu-Ulm	County	0	0	2	...	10	19
Nürnberg	County-level City	0	2	8	...	24	51
Nürnberger Land	County	0	0	1	1	6	18
Oberallgäu	County	0	0	5	...	27	40
