State 	1960 	1970 	1980 	1990 	2000 	2010 	2015 	2018
Baden-Württemberg 	7,726,859 	8,953,607 	9,258,947 	9,822,027 	10,524,415 	10,753,880 	10,879,618 	11,069,533
Bavaria 	9,494,939 	10,561,110 	10,928,151 	11,448,823 	12,230,255 	12,538,696 	12,843,514 	13,076,721
Berlin 	2,202,241 	2,115,311 	1,896,230 	3,433,695 	3,382,169 	3,460,725 	3,520,031 	3,644,826
Brandenburg 				2,578,312 	2,601,962 	2,503,273 	2,484,826 	2,511,917
Bremen 	704,287 	735,452 	693,846 	681,665 	660,225 	660,706 	671,489 	682,986
Hamburg 	1,836,958 	1,793,640 	1,645,095 	1,652,363 	1,715,392 	1,786,448 	1,787,408 	1,841,179
Hesse 	4,783,352 	5,424,529 	5,601,031 	5,763,310 	6,068,129 	6,067,021 	6,176,172 	6,265,809
Lower Saxony 	6,576,137 	7,121,824 	7,256,386 	7,387,245 	7,926,193 	7,918,293 	7,926,599 	7,982,448
Mecklenburg-Vorpommern 				1,923,959 	1,775,703 	1,642,327 	1,612,362 	1,609,675
North Rhine-Westphalia 	15,852,476 	17,004,851 	17,058,193 	17,349,651 	18,009,865 	17,845,154 	17,865,516 	17,932,651
Rhineland-Palatinate 	3,411,170 	3,658,932 	3,642,482 	3,763,510 	4,034,557 	4,003,745 	4,052,803 	4,084,844
Saarland 	1,060,493 	1,121,300 	1,066,299 	1,072,963 	1,068,703 	1,017,567 	995,597 	990,509
Saxony 				4,764,301 	4,425,581 	4,149,477 	4,084,851 	4,077,937
Saxony-Anhalt 				2,873,957 	2,615,375 	2,335,006 	2,245,470 	2,208,321
Schleswig-Holstein 	2,309,409 	2,510,608 	2,611,285 	2,626,127 	2,789,761 	2,834,259 	2,858,714 	2,896,712
Thuringia 				2,611,319 	2,431,255 	2,235,025 	2,170,714 	2,143,145
