1 	 Russia[Note 2] 	145,969,087 	146,877,088 	1 Jan 2018 	EAEU 	National Estimate[3]
2 	 Germany 	83,792,987 	82,887,000 	30 Jun 2018 	EU 	National estimate[4]
3 	 Turkey 	84,200,851 	82,003,882 	31 Dec 2018 		National estimate[5]
4 	 France[Note 3] 	65,227,357 	67,372,000 	1 Nov 2018 	EU 	Monthly national estimate[6]
5 	 United Kingdom[Note 4] 	67,803,450 	66,435,550 	30 Jun 2017 		National annual estimate [7]
6 	 Italy 	60,496,082 	60,390,560 	30 Sep 2018 	EU 	Monthly national estimate[8]
7 	 Spain 	46,767,543 	46,733,038 	1 Jul 2018 	EU 	National estimate[9]
8 	 Poland 	37,864,109 	38,433,600 	31 Dec 2017 	EU 	National estimate[10]
9 	 Ukraine[Note 5] 	43,817,733 	37,289,000 	1 Dec 2019 	DCFTA 	Monthly national estimate[11]
10 	 Romania 	19,266,079 	19,523,621 	1 Jan 2018 	EU 	National annual estimate[12]
11 	 Kazakhstan 	18,715,436 	18,356,900 	1 Nov 2018 	EAEU 	National estimate[13]
12 	 Netherlands 	17,123,478 	17,417,600 	3 Jan 2020 	EU 	National population clock[14]
13 	 Belgium 	11,579,502 	11,449,656 	1 Nov 2018 	EU 	Monthly national estimate[15]
14 	 Greece 	10,439,436 	10,768,193 	1 Jan 2017 	EU 	National estimate[16]
15 	 Czech Republic 	10,705,712 	10,627,794 	30 Sep 2018 	EU 	National quarterly estimate[17]
16 	 Sweden 	10,081,948 	10,319,601 	31 Oct 2019 	EU 	National monthly estimate[18]
17 	 Portugal 	10,205,235 	10,276,617 	31 Dec 2018 	EU 	National annual estimate[19]
18 	 Azerbaijan 	10,117,021 	10,000,000 	6 Apr 2019 		National estimate[20]
19 	 Hungary 	9,668,737 	9,771,000 	1 Jan 2018 	EU 	National annual estimate[21]
20 	 Belarus 	9,452,267 	9,477,100 	1 Oct 2018 	EAEU 	National quarterly estimate[22]
21 	 Austria 	8,999,973 	8,857,960 	1 Oct 2018 	EU 	Quarterly provisional figure[23]
22 	 Switzerland 	8,637,694 	8,526,932 	30 Sep 2018 	EFTA 	National provisional figure[24]
23 	 Bulgaria 	6,964,301 	7,000,039 	31 Dec 2018 	EU 	National estimate[25]
24 	 Serbia[Note 6] 	8,750,935 	6,963,764 	1 Jan 2019 		National annual estimate[26]
25 	 Denmark 	5,785,741 	5,806,015 	1 Oct 2018 	EU 	National quarterly estimate[27]
26 	 Finland 	5,538,872 	5,522,015 	30 Nov 2018 	EU 	Monthly national estimate[28]
27 	 Slovakia 	5,459,814 	5,445,087 	30 Jun 2018 	EU 	National estimate[29]
28 	 Norway 	5,407,670 	5,323,933 	1 Oct 2018 	EFTA 	National quarterly estimate[30]
29 	 Ireland 	4,927,661 	4,921,500 	1 Apr 2019 	EU 	National estimate[31]
30 	 Croatia 	4,112,131 	4,105,493 	31 Dec 2017 	EU 	National estimate[32]
31 	 Georgia[Note 7] 	3,992,447 	3,729,600 	1 Jan 2018 	DCFTA 	National annual estimate[33]
32 	 Bosnia and Herzegovina 	3,285,047 	3,511,372 	30 Jun 2016 		National estimate[34]
33 	 Armenia 	2,961,928 	2,969,200 	30 Sep 2018 	EAEU 	National quarterly estimate[35]
34 	 Albania 	2,879,642 	2,870,324 	1 Jan 2018 		National annual estimate[36]
35 	 Lithuania 	1,954,244 	2,791,903 	1 Jan 2019 	EU 	Monthly national estimate[37]
36 	 Moldova 	4,037,197 	2,681,735 	1 Jan 2019 	DCFTA 	National estimate[38]
37 	 North Macedonia 	2,083,810 	2,075,301 	31 Dec 2017 		National estimate[39]
38 	 Slovenia 	2,079,226 	2,070,050 	1 Jul 2018 	EU 	National estimate[40]
39 	 Latvia 	1,891,687 	1,921,300 	1 Dec 2018 	EU 	Monthly national estimate[41]
40 	 Kosovo[Note 8] 		1,798,506 	31 Dec 2017 		National annual estimate[42]
41 	 Estonia 	1,327,561 	1,319,133 	1 Jan 2018 	EU 	National estimate[43]
42 	 Cyprus 	1,186,194 	864,200 	31 Dec 2017 	EU 	National annual estimate[44]
43 	 Montenegro 	628,112 	622,359 	1 Jan 2018 		National estimate[45]
44 	 Luxembourg 	623,897 	602,005 	1 Jan 2018 	EU 	National estimate[46]
45 	 Malta 	441,161 	475,701 	31 Dec 2017 	EU 	National estimate[47]
46 	 Iceland 	340,663 	355,620 	30 Sep 2018 	EFTA 	National quarterly estimate[48]
	 Jersey (UK) 		105,500 	31 Dec 2017 		National estimate[49]
	 Isle of Man (UK) 	84,941 	83,314 	24 Apr 2016 		2016 census result[50]
47 	 Andorra 	77,237 	74,794 	31 Dec 2017 		National estimate[51]
	 Guernsey (UK) 		62,063 	31 Dec 2017 		National estimate[52]
	 Faroe Islands (Denmark) 	48,805 	51,237 	1 Nov 2018 		Monthly national estimate[53]
48 	 Monaco 	39,163 	38,300 	31 Dec 2017 		National annual estimate[54]
49 	 Liechtenstein 	38,095 	38,201 	30 Jun 2018 	EFTA 	National semi annual estimate[55]
	 Gibraltar (UK) 	33,689 	33,573 	31 Dec 2015 		National estimate[56]
50 	 San Marino 	33,913 	33,407 	30 Nov 2018 		National monthly estimate[57]
	 Åland Islands (Finland) 		29,489 	31 Dec 2017 	EU 	National estimate[58]
51 	 Vatican City 	798 	799 	3 Jul 2019 		National estimate[59]
