Region	HASC	ISO	FIPS	NUTE	INEI	Population	Area(km.²)	Area(mi.²)	Capital
Amazonas	PE.AM	AMA	PE01	40201	01	375993	39249	15154	Chachapoyas
Ancash	PE.AN	ANC	PE02	40502	02	1063459	35826	13832	Huaraz
Apurímac	PE.AP	APU	PE03	40903	03	404190	20896	8068	Abancay
Arequipa	PE.AR	ARE	PE04	41004	04	1152303	63344	24457	Arequipa
Ayacucho	PE.AY	AYA	PE05	40905	05	612489	43815	16917	Ayacucho
Cajamarca	PE.CJ	CAJ	PE06	40106	06	1387809	33248	12837	Cajamarca
Callao	PE.CL	CAL	PE07	40607	07	876877	147	57	Callao
Cusco	PE.CS	CUS	PE08	40808	08	1171403	71892	27758	Cusco
Huancavelica	PE.HV	HUV	PE09	40909	09	454797	22131	8545	Huancavelica
Huánuco	PE.HC	HUC	PE10	40410	10	762223	36887	14242	Huánuco
Ica	PE.IC	ICA	PE11	41011	11	711932	21328	8235	Ica
Junín	PE.JU	JUN	PE12	40712	12	1225474	44410	17147	Huancayo
La Libertad	PE.LL	LAL	PE13	40513	13	1617050	25515	9851	Trujillo
Lambayeque	PE.LB	LAM	PE14	40114	14	1112868	14213	5488	Chiclayo
Lima [Province]	PE.LP	LMA	PE26	40615	15	7605742	2665	1029	Lima
Lima	PE.LR	LIM	PE15	40615	15	839469	32137	12408	Huacho
Loreto	PE.LO	LOR	PE16	40316	16	891732	368852	142415	Iquitos
Madre de Dios	PE.MD	MDD	PE17	40817	17	109555	85183	32889	Puerto Maldonado
Moquegua	PE.MQ	MOQ	PE18	41118	18	161533	15734	6075	Moquegua
Pasco	PE.PA	PAS	PE19	40719	19	280449	25320	9776	Cerro de Pasco
Piura	PE.PI	PIU	PE20	40120	20	1676315	35891	13858	Piura
Puno	PE.PU	PUN	PE21	41121	21	1268441	70003	27028	Puno
San Martín	PE.SM	SAM	PE22	40222	22	728808	51253	19789	Moyobamba
Tacna	PE.TA	TAC	PE23	41123	23	288781	16076	6207	Tacna
Tumbes	PE.TU	TUM	PE24	40124	24	200306	4669	1803	Tumbes
Ucayali	PE.UC	UCA	PE25	40425	25	432159	102411	39541	Pucallpa
